Close,Close(t-1),Close(t-2),Close(t-3),Close(t-4),Close(t-5),Close(t-6),Close(t-7)
0.170313,0.167708,0.154688,0.184375,0.157813,0.165104,0.161979,0.15
0.164583,0.170313,0.167708,0.154688,0.184375,0.157813,0.165104,0.161979
0.197396,0.164583,0.170313,0.167708,0.154688,0.184375,0.157813,0.165104
0.225,0.197396,0.164583,0.170313,0.167708,0.154688,0.184375,0.157813
0.23125,0.225,0.197396,0.164583,0.170313,0.167708,0.154688,0.184375
0.21875,0.23125,0.225,0.197396,0.164583,0.170313,0.167708,0.154688
0.203906,0.21875,0.23125,0.225,0.197396,0.164583,0.170313,0.167708
0.208333,0.203906,0.21875,0.23125,0.225,0.197396,0.164583,0.170313
0.202083,0.208333,0.203906,0.21875,0.23125,0.225,0.197396,0.164583
0.216927,0.202083,0.208333,0.203906,0.21875,0.23125,0.225,0.197396
0.201042,0.216927,0.202083,0.208333,0.203906,0.21875,0.23125,0.225
0.200521,0.201042,0.216927,0.202083,0.208333,0.203906,0.21875,0.23125
0.200781,0.200521,0.201042,0.216927,0.202083,0.208333,0.203906,0.21875
0.20625,0.200781,0.200521,0.201042,0.216927,0.202083,0.208333,0.203906
0.202865,0.20625,0.200781,0.200521,0.201042,0.216927,0.202083,0.208333
0.20026,0.202865,0.20625,0.200781,0.200521,0.201042,0.216927,0.202083
0.1875,0.20026,0.202865,0.20625,0.200781,0.200521,0.201042,0.216927
0.195052,0.1875,0.20026,0.202865,0.20625,0.200781,0.200521,0.201042
0.2,0.195052,0.1875,0.20026,0.202865,0.20625,0.200781,0.200521
0.198958,0.2,0.195052,0.1875,0.20026,0.202865,0.20625,0.200781
0.196094,0.198958,0.2,0.195052,0.1875,0.20026,0.202865,0.20625
0.18125,0.196094,0.198958,0.2,0.195052,0.1875,0.20026,0.202865
0.18125,0.18125,0.196094,0.198958,0.2,0.195052,0.1875,0.20026
0.191146,0.18125,0.18125,0.196094,0.198958,0.2,0.195052,0.1875
0.221354,0.191146,0.18125,0.18125,0.196094,0.198958,0.2,0.195052
0.226042,0.221354,0.191146,0.18125,0.18125,0.196094,0.198958,0.2
0.225,0.226042,0.221354,0.191146,0.18125,0.18125,0.196094,0.198958
0.251302,0.225,0.226042,0.221354,0.191146,0.18125,0.18125,0.196094
0.213542,0.251302,0.225,0.226042,0.221354,0.191146,0.18125,0.18125
0.247396,0.213542,0.251302,0.225,0.226042,0.221354,0.191146,0.18125
0.269531,0.247396,0.213542,0.251302,0.225,0.226042,0.221354,0.191146
0.25625,0.269531,0.247396,0.213542,0.251302,0.225,0.226042,0.221354
0.254167,0.25625,0.269531,0.247396,0.213542,0.251302,0.225,0.226042
0.253646,0.254167,0.25625,0.269531,0.247396,0.213542,0.251302,0.225
0.247917,0.253646,0.254167,0.25625,0.269531,0.247396,0.213542,0.251302
0.24375,0.247917,0.253646,0.254167,0.25625,0.269531,0.247396,0.213542
0.233073,0.24375,0.247917,0.253646,0.254167,0.25625,0.269531,0.247396
0.223958,0.233073,0.24375,0.247917,0.253646,0.254167,0.25625,0.269531
0.210417,0.223958,0.233073,0.24375,0.247917,0.253646,0.254167,0.25625
0.197396,0.210417,0.223958,0.233073,0.24375,0.247917,0.253646,0.254167
0.188542,0.197396,0.210417,0.223958,0.233073,0.24375,0.247917,0.253646
0.192969,0.188542,0.197396,0.210417,0.223958,0.233073,0.24375,0.247917
0.208333,0.192969,0.188542,0.197396,0.210417,0.223958,0.233073,0.24375
0.21875,0.208333,0.192969,0.188542,0.197396,0.210417,0.223958,0.233073
0.220833,0.21875,0.208333,0.192969,0.188542,0.197396,0.210417,0.223958
0.225521,0.220833,0.21875,0.208333,0.192969,0.188542,0.197396,0.210417
0.229167,0.225521,0.220833,0.21875,0.208333,0.192969,0.188542,0.197396
0.224479,0.229167,0.225521,0.220833,0.21875,0.208333,0.192969,0.188542
0.211458,0.224479,0.229167,0.225521,0.220833,0.21875,0.208333,0.192969
0.210156,0.211458,0.224479,0.229167,0.225521,0.220833,0.21875,0.208333
0.213021,0.210156,0.211458,0.224479,0.229167,0.225521,0.220833,0.21875
0.20625,0.213021,0.210156,0.211458,0.224479,0.229167,0.225521,0.220833
0.213542,0.20625,0.213021,0.210156,0.211458,0.224479,0.229167,0.225521
0.211719,0.213542,0.20625,0.213021,0.210156,0.211458,0.224479,0.229167
0.218229,0.211719,0.213542,0.20625,0.213021,0.210156,0.211458,0.224479
0.225,0.218229,0.211719,0.213542,0.20625,0.213021,0.210156,0.211458
0.229688,0.225,0.218229,0.211719,0.213542,0.20625,0.213021,0.210156
0.235417,0.229688,0.225,0.218229,0.211719,0.213542,0.20625,0.213021
0.234375,0.235417,0.229688,0.225,0.218229,0.211719,0.213542,0.20625
0.225521,0.234375,0.235417,0.229688,0.225,0.218229,0.211719,0.213542
0.234375,0.225521,0.234375,0.235417,0.229688,0.225,0.218229,0.211719
