epoch,train_loss,train_acc,test_loss,test_acc,model
1,0.3046206879258156,0.873675,0.26271039712580907,0.8892,mlp
2,0.18275359016656875,0.9281,0.28498265987179083,0.8831,mlp
3,0.0982531341329217,0.9641,0.37569408289566164,0.8792,mlp
4,0.026858928987570106,0.991175,0.5690833863559043,0.8754,mlp
5,0.006431961436651181,0.99805,0.7808171118710451,0.8742,mlp
