epoch,train_loss,train_acc,test_loss,test_acc,model
1,2.805322232793589,0.3365941562620672,2.4618628223737082,0.3640278237827095,gru
2,2.442692522142754,0.3740507143776548,2.2746361047029495,0.4057634978469692,gru
3,2.19445701309892,0.4691723516540095,1.966162696480751,0.573368665120901,gru
4,1.9093148258865857,0.5570858540352683,1.8122553154826164,0.5803246107982776,gru
5,1.6417933370246263,0.6048397477152787,1.5070920313398044,0.6541901291818483,gru
6,1.3674750474632764,0.6758913631097954,1.3073832218845685,0.6995693938390195,gru
7,1.1463381091102225,0.7277641910155748,1.1602655686438084,0.7373302418019212,gru
8,0.9849951814432614,0.7581413309306217,1.0784066803753376,0.7545544882411395,gru
9,0.8187031687283125,0.7985583730209809,0.9760441035032272,0.7774097383239483,gru
10,0.6787187574339695,0.833569313940018,0.9149868848423163,0.792315336204041,gru
11,0.5756952884744425,0.856223452181748,0.8598655387759209,0.7976151043391851,gru
12,0.4906468342562191,0.8788775904234779,0.8240668674310049,0.8042398145081153,gru
13,0.41807602907790514,0.8954820440211095,0.8287210998435816,0.8058959920503478,gru
14,0.36763774029544144,0.9077101300038615,0.7938523025562366,0.8201391189135475,gru
15,0.31582673993266996,0.9208392328485004,0.8074438783029715,0.8168267638290825,gru
16,0.2805417616103516,0.9290771013000386,0.8019039339075485,0.8254388870486916,gru
17,0.24570953674980853,0.9405328871154589,0.8033963826795419,0.8254388870486916,gru
18,0.22573781917329694,0.9458102715922255,0.7857268756876389,0.8327260682345148,gru
19,0.21288717709115293,0.9487707555669971,0.8478782201806704,0.8174892348459755,gru
20,0.20721457434482263,0.9482558887887759,0.8198526948690414,0.8261013580655846,gru
