epoch,model,train_mse_norm,train_mae_c,val_mse_norm,val_mae_c,val_rmse_c,lr,best_so_far,lookback,delay,step,batch_size,lr_config,target_mean,target_std
1,lstm,0.15981285081109353,2.658570368067442,0.13073832631469887,2.417431567609559,3.1291794852115498,0.0001,True,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
2,lstm,0.12883995998924155,2.41383391455848,0.1299013623950034,2.3927830993305745,3.1191471584415438,0.0001,True,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
3,lstm,0.11563148449922771,2.2921284116271625,0.12905559096116412,2.406519295363706,3.1089763895966684,0.0001,True,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
4,lstm,0.10400768187962244,2.1715385410395225,0.1308274275941095,2.425005273167501,3.130245597137398,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
5,lstm,0.09450466495567705,2.062815207106443,0.14462472180650376,2.568625800170593,3.2911697403013767,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
6,lstm,0.0855625912059089,1.9565023075843395,0.15037336090132933,2.6240029749727287,3.3559421675857672,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
7,lstm,0.0766668620559944,1.8441155368695854,0.14843526379652405,2.599609177488772,3.3342453670890615,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
8,lstm,0.068709980133041,1.7402657536762975,0.15872082315545868,2.709924773285217,3.447830967737968,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
9,lstm,0.06094292549097359,1.6383102268872958,0.16349500947112824,2.746879632430156,3.499300712258256,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
10,lstm,0.0543974830231993,1.5478017512386417,0.15923245861539348,2.7318700887021943,3.453383524344452,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
